Gene	p value	Name
HSPA12B	>0.1	heat shock protein family A (Hsp70) member 12B
NUP133	>0.1	nucleoporin 133
EIF2A	>0.1	eukaryotic translation initiation factor 2A
ZYX	>0.1	zyxin
LOC100130587	>0.1	uncharacterized LOC100130587(LOC100130587)
NFIB	>0.1	nuclear factor I B
VPS9D1-AS1	>0.1	VPS9D1 antisense RNA 1
SFRP1	>0.1	secreted frizzled related protein 1
RGSL1	>0.1	regulator of G protein signaling like 1
GRIK2	>0.1	glutamate ionotropic receptor kainate type subunit 2
PCDH17	>0.1	protocadherin 17
TBC1D1	>0.1	TBC1 domain family member 1
MAK	>0.1	male germ cell associated kinase
IP6K1	>0.1	inositol hexakisphosphate kinase 1
KLHL14	>0.1	kelch like family member 14
LUZP4	>0.1	leucine zipper protein 4
KCNC4	>0.1	potassium voltage-gated channel subfamily C member 4
OXTR	>0.1	oxytocin receptor
SCLT1	>0.1	sodium channel and clathrin linker 1
ATE1-AS1	>0.1	ATE1 antisense RNA 1
CLEC5A	>0.1	C-type lectin domain containing 5A
U2AF2	>0.1	U2 small nuclear RNA auxiliary factor 2
TFR2	>0.1	transferrin receptor 2
ODAM	>0.1	odontogenic, ameloblast associated
FAM47E	>0.1	family with sequence similarity 47 member E
HIBADH	>0.1	3-hydroxyisobutyrate dehydrogenase
ZNF124	>0.1	zinc finger protein 124
RARRES1	>0.1	retinoic acid receptor responder 1
CYB561D2	>0.1	cytochrome b561 family member D2
THRB-AS1	>0.1	THRB antisense RNA 1
HNRNPKP3	>0.1	heterogeneous nuclear ribonucleoprotein K pseudogene 3
HIST1H2BK	>0.1	H2B clustered histone 12
CLEC4F	>0.1	C-type lectin domain family 4 member F
SLC26A11	>0.1	solute carrier family 26 member 11
AARS2	>0.1	alanyl-tRNA synthetase 2, mitochondrial
EPB42	>0.1	erythrocyte membrane protein band 4.2
PYY	>0.1	peptide YY
PTGFRN	>0.1	prostaglandin F2 receptor inhibitor
PHF19	>0.1	PHD finger protein 19
MUC4	>0.1	mucin 4, cell surface associated
MAGEA8	>0.1	MAGE family member A8
CDHR4	>0.1	cadherin related family member 4
TAS2R10	>0.1	taste 2 receptor member 10
SLC5A3	>0.1	solute carrier family 5 member 3
CTXN3	>0.1	cortexin 3
UHRF2	>0.1	ubiquitin like with PHD and ring finger domains 2
RAB43	>0.1	RAB43, member RAS oncogene family
ANXA2R	>0.1	annexin A2 receptor
GABRP	>0.1	gamma-aminobutyric acid type A receptor subunit pi
ZDHHC19	>0.1	zinc finger DHHC-type palmitoyltransferase 19
CPB2	>0.1	carboxypeptidase B2
HIST1H3G	>0.1	H3 clustered histone 8
SHC4	>0.1	SHC adaptor protein 4
HIST1H2AH	>0.1	H2A clustered histone 12
ZNF764	>0.1	zinc finger protein 764
ZFAT	>0.1	zinc finger and AT-hook domain containing
C20orf26	>0.1	cilia and flagella associated protein 61
ABHD14B	>0.1	abhydrolase domain containing 14B
ASB10	>0.1	ankyrin repeat and SOCS box containing 10
MYCBP2	>0.1	MYC binding protein 2
ANO1	>0.1	anoctamin 1
MIR3654	>0.1	microRNA 3654
P4HA3	>0.1	prolyl 4-hydroxylase subunit alpha 3
CDH9	>0.1	cadherin 9
LEPROTL1	>0.1	leptin receptor overlapping transcript like 1
FXYD5	>0.1	FXYD domain containing ion transport regulator 5
PEX3	>0.1	peroxisomal biogenesis factor 3
IRG1	>0.1	aconitate decarboxylase 1
CRYGD	>0.1	crystallin gamma D
WNT4	>0.1	Wnt family member 4
ZCCHC3	>0.1	zinc finger CCHC-type containing 3
TRAF1	>0.1	TNF receptor associated factor 1
LINC00955	>0.1	long intergenic non-protein coding RNA 955
ACKR1	>0.1	atypical chemokine receptor 1 (Duffy blood group)
FTO	>0.1	FTO alpha-ketoglutarate dependent dioxygenase
TMEM169	>0.1	transmembrane protein 169
STUB1	>0.1	STIP1 homology and U-box containing protein 1
C2CD2	>0.1	C2 calcium dependent domain containing 2
C6orf136	>0.1	chromosome 6 open reading frame 136
PARP6	>0.1	poly(ADP-ribose) polymerase family member 6
RHEB	>0.1	Ras homolog, mTORC1 binding
NRXN1	>0.1	neurexin 1
CUX2	>0.1	cut like homeobox 2
IKBKG	>0.1	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
SNTG1	>0.1	syntrophin gamma 1
NCAPH	>0.1	non-SMC condensin I complex subunit H
LINC00116	>0.1	mitoregulin
DNAJC15	>0.1	DnaJ heat shock protein family (Hsp40) member C15
GTPBP4	>0.1	GTP binding protein 4
STAC2	>0.1	SH3 and cysteine rich domain 2
MYCBPAP	>0.1	MYCBP associated protein
ZNF296	>0.1	zinc finger protein 296
XKRX	>0.1	XK related X-linked
CSTF1	>0.1	cleavage stimulation factor subunit 1
TXLNG	>0.1	taxilin gamma
GRM1	>0.1	glutamate metabotropic receptor 1
PINLYP	>0.1	phospholipase A2 inhibitor and LY6/PLAUR domain containing
ZNF517	>0.1	zinc finger protein 517
CD84	>0.1	CD84 molecule
RPL34	>0.1	ribosomal protein L34
PPHLN1	>0.1	periphilin 1
CBR4	>0.1	carbonyl reductase 4
SLC39A8	>0.1	solute carrier family 39 member 8
PTPN12	>0.1	protein tyrosine phosphatase non-receptor type 12
RFESD	>0.1	Rieske Fe-S domain containing
SCRT1	>0.1	scratch family transcriptional repressor 1
HSPD1	>0.1	heat shock protein family D (Hsp60) member 1
PPP1R36	>0.1	protein phosphatase 1 regulatory subunit 36
SH3GL2	>0.1	SH3 domain containing GRB2 like 2, endophilin A1
DDIT3	>0.1	DNA damage inducible transcript 3
PIBF1	>0.1	progesterone immunomodulatory binding factor 1
LOC390705	>0.1	protein phosphatase 2 regulatory subunit B'', beta pseudogene(LOC390705)
ETV2	>0.1	ETS variant transcription factor 2
ZNF100	>0.1	zinc finger protein 100
CD19	>0.1	CD19 molecule
ICK	>0.1	ciliogenesis associated kinase 1
TMEM213	>0.1	transmembrane protein 213
WT1-AS	>0.1	WT1 antisense RNA
AGER	>0.1	advanced glycosylation end-product specific receptor
APOOL	>0.1	apolipoprotein O like
LAG3	>0.1	lymphocyte activating 3
PPBPP2	>0.1	pro-platelet basic protein pseudogene 2
HIST1H2BC	>0.1	H2B clustered histone 4
LINC00589	>0.1	long intergenic non-protein coding RNA 589
CAPZA2	>0.1	capping actin protein of muscle Z-line subunit alpha 2
LOC100505474	>0.1	
ZNF134	>0.1	zinc finger protein 134
UG0898H09	>0.1	
ST3GAL4	>0.1	ST3 beta-galactoside alpha-2,3-sialyltransferase 4
FRS3	>0.1	fibroblast growth factor receptor substrate 3
GRIK1-AS2	>0.1	GRIK1 antisense RNA 2
WNT1	>0.1	Wnt family member 1
NUDT16P1	>0.1	nudix hydrolase 16 like 2, pseudogene
ARL14EPL	>0.1	ADP ribosylation factor like GTPase 14 effector protein like
MAPK9	>0.1	mitogen-activated protein kinase 9
MAN1A1	>0.1	mannosidase alpha class 1A member 1
GPR171	>0.1	G protein-coupled receptor 171
POLI	>0.1	DNA polymerase iota
VCX2	>0.1	variable charge X-linked 2
ROS1	>0.1	ROS proto-oncogene 1, receptor tyrosine kinase
TIMM17A	>0.1	translocase of inner mitochondrial membrane 17A
DIO3OS	>0.1	DIO3 opposite strand upstream RNA
GRM8	>0.1	glutamate metabotropic receptor 8
ZEB1	>0.1	zinc finger E-box binding homeobox 1
SEMA3C	>0.1	semaphorin 3C
SNORA12	>0.1	small nucleolar RNA, H/ACA box 12
HIST1H2BD	>0.1	H2B clustered histone 5
CTNNAL1	>0.1	catenin alpha like 1
LRRC17	>0.1	leucine rich repeat containing 17
LINC00673	>0.1	long intergenic non-protein coding RNA 673
TEX38	>0.1	testis expressed 38
MARCKS	>0.1	myristoylated alanine rich protein kinase C substrate
VTI1A	>0.1	vesicle transport through interaction with t-SNAREs 1A
BORA	>0.1	BORA aurora kinase A activator
KLRC1	>0.1	killer cell lectin like receptor C1
EPB41L2	>0.1	erythrocyte membrane protein band 4.1 like 2
PHF5A	>0.1	PHD finger protein 5A
ZNF799	>0.1	zinc finger protein 799
FFAR4	>0.1	free fatty acid receptor 4
KIAA0125	>0.1	family with sequence similarity 30 member A
ENTPD7	>0.1	ectonucleoside triphosphate diphosphohydrolase 7
CHEK1	>0.1	checkpoint kinase 1
AURKB	>0.1	aurora kinase B
FZD1	>0.1	frizzled class receptor 1
OR2G2	>0.1	olfactory receptor family 2 subfamily G member 2
NDUFS8	>0.1	NADH:ubiquinone oxidoreductase core subunit S8
CENPA	>0.1	centromere protein A
LINC00910	>0.1	long intergenic non-protein coding RNA 910
HEATR6	>0.1	HEAT repeat containing 6
UBQLN1	>0.1	ubiquilin 1
CPA6	>0.1	carboxypeptidase A6
PMPCB	>0.1	peptidase, mitochondrial processing subunit beta
BMPR2	>0.1	bone morphogenetic protein receptor type 2
PIP5K1P1	>0.1	phosphatidylinositol-4-phosphate 5-kinase type 1 pseudogene 1
EMC9	>0.1	ER membrane protein complex subunit 9
MUT	>0.1	methylmalonyl-CoA mutase
COL4A4	>0.1	collagen type IV alpha 4 chain
LOC392364	>0.1	nuclear pore associated protein 1 pseudogene(LOC392364)
PIGA	>0.1	phosphatidylinositol glycan anchor biosynthesis class A
MEI1	>0.1	meiotic double-stranded break formation protein 1
GFAP	>0.1	glial fibrillary acidic protein
INCA1	>0.1	inhibitor of CDK, cyclin A1 interacting protein 1
STARD6	>0.1	StAR related lipid transfer domain containing 6
PSTPIP2	>0.1	proline-serine-threonine phosphatase interacting protein 2
GSTA4	>0.1	glutathione S-transferase alpha 4
LGALS3BP	>0.1	galectin 3 binding protein
CYP46A1	>0.1	cytochrome P450 family 46 subfamily A member 1
SCUBE3	>0.1	signal peptide, CUB domain and EGF like domain containing 3
MGC32805	>0.1	uncharacterized LOC153163(MGC32805)
GJB5	>0.1	gap junction protein beta 5
TKTL2	>0.1	transketolase like 2
METAP2	>0.1	methionyl aminopeptidase 2
LHX3	>0.1	LIM homeobox 3
CD177	>0.1	CD177 molecule
DEFB122	>0.1	defensin beta 122 (pseudogene)
DYNLL2	>0.1	dynein light chain LC8-type 2
PKD1L2	>0.1	polycystin 1 like 2 (gene/pseudogene)
SMARCD3	>0.1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3
PXK	>0.1	PX domain containing serine/threonine kinase like
NAV2	>0.1	neuron navigator 2
ZNF132	>0.1	zinc finger protein 132
TRIM29	>0.1	tripartite motif containing 29
TBL1Y	>0.1	transducin beta like 1 Y-linked
PRIMA1	>0.1	proline rich membrane anchor 1
FOLH1	>0.1	folate hydrolase 1
SYTL5	>0.1	synaptotagmin like 5
LOC646522	>0.1	
SFRP2	>0.1	secreted frizzled related protein 2
THAP5	>0.1	THAP domain containing 5
GAGE1	>0.1	G antigen 1
ZNF763	>0.1	zinc finger protein 763
ANXA9	>0.1	annexin A9
TMEM104	>0.1	transmembrane protein 104
APOBR	>0.1	apolipoprotein B receptor
CDRT15	>0.1	CMT1A duplicated region transcript 15
FLJ31104	>0.1	
LMCD1-AS1	>0.1	LMCD1 antisense RNA 1
C2orf72	>0.1	chromosome 2 open reading frame 72
TRPM8	>0.1	transient receptor potential cation channel subfamily M member 8
GNMT	>0.1	glycine N-methyltransferase
DNAJC27-AS1	>0.1	DNAJC27 antisense RNA 1
CSDE1	>0.1	cold shock domain containing E1
THAP9	>0.1	THAP domain containing 9
FMO1	>0.1	flavin containing dimethylaniline monoxygenase 1
TMEM132E	>0.1	transmembrane protein 132E
SLC7A13	>0.1	solute carrier family 7 member 13
LINC00856	>0.1	long intergenic non-protein coding RNA 856
LGALSL	>0.1	galectin like
DNLZ	>0.1	DNL-type zinc finger
EIF4E2	>0.1	eukaryotic translation initiation factor 4E family member 2
SPATA33	>0.1	spermatogenesis associated 33
AGAP2-AS1	>0.1	AGAP2 antisense RNA 1
SELL	>0.1	selectin L
NKX3-2	>0.1	NK3 homeobox 2
CPSF4	>0.1	cleavage and polyadenylation specific factor 4
MCM4	>0.1	minichromosome maintenance complex component 4
MIPOL1	>0.1	mirror-image polydactyly 1
ABRA	>0.1	actin binding Rho activating protein
INTS4	>0.1	integrator complex subunit 4
LINC00222	>0.1	long intergenic non-protein coding RNA 222
ENDOV	>0.1	endonuclease V
CCDC109B	>0.1	mitochondrial calcium uniporter dominant negative subunit beta
ZNF19	>0.1	zinc finger protein 19
PRPF4	>0.1	pre-mRNA processing factor 4
AFAP1L1	>0.1	actin filament associated protein 1 like 1
DHRS4-AS1	>0.1	DHRS4 antisense RNA 1
OR12D2	>0.1	olfactory receptor family 12 subfamily D member 2
CIZ1	>0.1	CDKN1A interacting zinc finger protein 1
LILRB3	>0.1	leukocyte immunoglobulin like receptor B3
AAGAB	>0.1	alpha and gamma adaptin binding protein
NSMCE2	>0.1	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase
ARRDC3	>0.1	arrestin domain containing 3
ORC6	>0.1	origin recognition complex subunit 6
LAMA5	>0.1	laminin subunit alpha 5
SLC35D1	>0.1	solute carrier family 35 member D1
MALT1	>0.1	MALT1 paracaspase
TCEAL2	>0.1	transcription elongation factor A like 2
SCN4B	>0.1	sodium voltage-gated channel beta subunit 4
ASH1L-AS1	>0.1	ASH1L antisense RNA 1
TTLL12	>0.1	tubulin tyrosine ligase like 12
NLRC4	>0.1	NLR family CARD domain containing 4
SCPEP1	>0.1	serine carboxypeptidase 1
ZNF311	>0.1	zinc finger protein 311
MYO1F	>0.1	myosin IF
C21orf119	>0.1	URB1 antisense RNA 1 (head to head)
HCG11	>0.1	HLA complex group 11
TDRD9	>0.1	tudor domain containing 9
IQCJ-SCHIP1	>0.1	IQCJ-SCHIP1 readthrough
ACADVL	>0.1	acyl-CoA dehydrogenase very long chain
SCAMP3	>0.1	secretory carrier membrane protein 3
CLCN3	>0.1	chloride voltage-gated channel 3
TSPAN18	>0.1	tetraspanin 18
LIMA1	>0.1	LIM domain and actin binding 1
CHRM3	>0.1	cholinergic receptor muscarinic 3
LOC100506123	>0.1	
LYPD5	>0.1	LY6/PLAUR domain containing 5
MARK4	>0.1	microtubule affinity regulating kinase 4
MTMR4	>0.1	myotubularin related protein 4
CCL18	>0.1	C-C motif chemokine ligand 18
PRKD1	>0.1	protein kinase D1
SYNJ1	>0.1	synaptojanin 1
LINC00701	>0.1	long intergenic non-protein coding RNA 701
TOR3A	>0.1	torsin family 3 member A
SRC	>0.1	SRC proto-oncogene, non-receptor tyrosine kinase
CPNE9	>0.1	copine family member 9
ZNF8	>0.1	zinc finger protein 8
KRTAP10-4	>0.1	keratin associated protein 10-4
LINC01366	>0.1	long intergenic non-protein coding RNA 1366
GBX1	>0.1	gastrulation brain homeobox 1
UFD1L	>0.1	ubiquitin recognition factor in ER associated degradation 1
LOC100289650	>0.1	
PAQR7	>0.1	progestin and adipoQ receptor family member 7
PRPF39	>0.1	pre-mRNA processing factor 39
ZNF10	>0.1	zinc finger protein 10
DLGAP5	>0.1	DLG associated protein 5
SLC35B4	>0.1	solute carrier family 35 member B4
SSPO	>0.1	SCO-spondin, pseudogene
RHBDD1	>0.1	rhomboid domain containing 1
FAM127B	>0.1	retrotransposon Gag like 8A
DNAJC3	>0.1	DnaJ heat shock protein family (Hsp40) member C3
ZNF367	>0.1	zinc finger protein 367
ZC2HC1A	>0.1	zinc finger C2HC-type containing 1A
CBWD5	>0.1	Zn regulated GTPase metalloprotein activator 1E
KIAA1755	>0.1	KIAA1755
TMEM27	>0.1	collectrin, amino acid transport regulator
DGKA	>0.1	diacylglycerol kinase alpha
STIM2	>0.1	stromal interaction molecule 2
CCL14	>0.1	C-C motif chemokine ligand 14
UBFD1	>0.1	ubiquitin family domain containing 1
YTHDF3	>0.1	YTH N6-methyladenosine RNA binding protein 3
GPATCH11	>0.1	G-patch domain containing 11
UBN1	>0.1	ubinuclein 1
C21orf54	>0.1	long intergenic non-protein coding RNA 1548
NIPBL	>0.1	NIPBL cohesin loading factor
KCNK17	>0.1	potassium two pore domain channel subfamily K member 17
PIAS3	>0.1	protein inhibitor of activated STAT 3
GNAI3	>0.1	G protein subunit alpha i3
TXLNA	>0.1	taxilin alpha
GATC	>0.1	glutamyl-tRNA amidotransferase subunit C
EIF2S1	>0.1	eukaryotic translation initiation factor 2 subunit alpha
LOC283710	>0.1	
SPAG6	>0.1	sperm associated antigen 6
COX7A1	>0.1	cytochrome c oxidase subunit 7A1
VAT1	>0.1	vesicle amine transport 1
PBX2	>0.1	PBX homeobox 2
RYK	>0.1	receptor like tyrosine kinase
CCL22	>0.1	C-C motif chemokine ligand 22
LHX8	>0.1	LIM homeobox 8
RFX8	>0.1	regulatory factor X8
FNDC3A	>0.1	fibronectin type III domain containing 3A
SUMO3	>0.1	small ubiquitin like modifier 3
GPATCH4	>0.1	G-patch domain containing 4 (gene/pseudogene)
HOXA11	>0.1	homeobox A11
CDC14C	>0.1	cell division cycle 14C
C19orf67	>0.1	chromosome 19 open reading frame 67
ACSM2B	>0.1	acyl-CoA synthetase medium chain family member 2B
PRSS16	>0.1	serine protease 16
THY1	>0.1	Thy-1 cell surface antigen
HLTF	>0.1	helicase like transcription factor
SEC11C	>0.1	SEC11 homolog C, signal peptidase complex subunit
GDI1	>0.1	GDP dissociation inhibitor 1
FES	>0.1	FES proto-oncogene, tyrosine kinase
CDC42EP2	>0.1	CDC42 effector protein 2
AHSA1	>0.1	activator of HSP90 ATPase activity 1
MMP13	>0.1	matrix metallopeptidase 13
LOC101928738	>0.1	
YIPF6	>0.1	Yip1 domain family member 6
OR6N1	>0.1	olfactory receptor family 6 subfamily N member 1
NFIA-AS1	>0.1	NFIA antisense RNA 1
CREBZF	>0.1	CREB/ATF bZIP transcription factor
LINC01220	>0.1	long intergenic non-protein coding RNA 1220
SCAF11	>0.1	SR-related CTD associated factor 11
ALAS1	>0.1	5'-aminolevulinate synthase 1
SRSF1	>0.1	serine and arginine rich splicing factor 1
HIST1H2AI	>0.1	H2A clustered histone 13
YY2	>0.1	YY2 transcription factor
DNASE1L1	>0.1	deoxyribonuclease 1 like 1
DLG5	>0.1	discs large MAGUK scaffold protein 5
ADPRM	>0.1	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent
CSDC2	>0.1	cold shock domain containing C2
CPEB3	>0.1	cytoplasmic polyadenylation element binding protein 3
DAD1	>0.1	defender against cell death 1
CRHBP	>0.1	corticotropin releasing hormone binding protein
NUMA1	>0.1	nuclear mitotic apparatus protein 1
CHDH	>0.1	choline dehydrogenase
DPYSL4	>0.1	dihydropyrimidinase like 4
SERP1	>0.1	stress associated endoplasmic reticulum protein 1
FAM196A	>0.1	inhibitory synaptic factor 2A
MALSU1	>0.1	mitochondrial assembly of ribosomal large subunit 1
HOXA1	>0.1	homeobox A1
LOC100335030	>0.1	FGFR1 oncogene partner 2 pseudogene(LOC100335030)
CASD1	>0.1	CAS1 domain containing 1
GPC6	>0.1	glypican 6
WDR34	>0.1	dynein 2 intermediate chain 2
CAV1	>0.1	caveolin 1
ALKBH8	>0.1	alkB homolog 8, tRNA methyltransferase
CHAC1	>0.1	ChaC glutathione specific gamma-glutamylcyclotransferase 1
EPHA8	>0.1	EPH receptor A8
PTPDC1	>0.1	protein tyrosine phosphatase domain containing 1
FNDC5	>0.1	fibronectin type III domain containing 5
KRT31	>0.1	keratin 31
DBP	>0.1	D-box binding PAR bZIP transcription factor
RPN1	>0.1	ribophorin I
KLRAP1	>0.1	killer cell lectin like receptor A1, pseudogene
PCBP1-AS1	>0.1	PCBP1 antisense RNA 1
SLC2A2	>0.1	solute carrier family 2 member 2
HPS3	>0.1	HPS3 biogenesis of lysosomal organelles complex 2 subunit 1
NOL11	>0.1	nucleolar protein 11
OR6B1	>0.1	olfactory receptor family 6 subfamily B member 1
TNIP1	>0.1	TNFAIP3 interacting protein 1
GNG10	>0.1	G protein subunit gamma 10
SYT8	>0.1	synaptotagmin 8
SPDYE4	>0.1	speedy/RINGO cell cycle regulator family member E4
CCR9	>0.1	C-C motif chemokine receptor 9
LINC00612	>0.1	long intergenic non-protein coding RNA 612
SEMA4A	>0.1	semaphorin 4A
SPSB3	>0.1	splA/ryanodine receptor domain and SOCS box containing 3
TMEM9	>0.1	transmembrane protein 9
MBD4	>0.1	methyl-CpG binding domain 4, DNA glycosylase
NKAP	>0.1	NFKB activating protein
TMEM55A	>0.1	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2
ZNF682	>0.1	zinc finger protein 682
SLFN5	>0.1	schlafen family member 5
ZFAND6	>0.1	zinc finger AN1-type containing 6
AMN1	>0.1	antagonist of mitotic exit network 1 homolog
MAML1	>0.1	mastermind like transcriptional coactivator 1
SLC6A12	>0.1	solute carrier family 6 member 12
SBK3	>0.1	SH3 domain binding kinase family member 3
LENG9	>0.1	leukocyte receptor cluster member 9
URM1	>0.1	ubiquitin related modifier 1
LOC254896	>0.1	uncharacterized LOC254896(LOC254896)
CTNND1	>0.1	catenin delta 1
SHISA7	>0.1	shisa family member 7
LINC00841	>0.1	long intergenic non-protein coding RNA 841
PTK6	>0.1	protein tyrosine kinase 6
NBPF3	>0.1	NBPF member 3
RBM25	>0.1	RNA binding motif protein 25
SF3B6	>0.1	splicing factor 3b subunit 6
ATP6V1E1	>0.1	ATPase H+ transporting V1 subunit E1
CCDC124	>0.1	coiled-coil domain containing 124
ZFYVE20	>0.1	rabenosyn, RAB effector
GPLD1	>0.1	glycosylphosphatidylinositol specific phospholipase D1
NEBL	>0.1	nebulette
C17orf67	>0.1	chromosome 17 open reading frame 67
RSC1A1	>0.1	regulator of solute carriers 1
NR0B1	>0.1	nuclear receptor subfamily 0 group B member 1
KIAA1429	>0.1	vir like m6A methyltransferase associated
SMAD5	>0.1	SMAD family member 5
RPE65	>0.1	retinoid isomerohydrolase RPE65
PLEKHG7	>0.1	pleckstrin homology and RhoGEF domain containing G7
RSBN1L	>0.1	round spermatid basic protein 1 like
TGDS	>0.1	TDP-glucose 4,6-dehydratase
PHKA1	>0.1	phosphorylase kinase regulatory subunit alpha 1
FLJ33360	>0.1	long intergenic non-protein coding RNA 2145
IQGAP2	>0.1	IQ motif containing GTPase activating protein 2
FSHB	>0.1	follicle stimulating hormone subunit beta
FOXC2	>0.1	forkhead box C2
NOXO1	>0.1	NADPH oxidase organizer 1
GNA15	>0.1	G protein subunit alpha 15
VEGFA	>0.1	vascular endothelial growth factor A
COL24A1	>0.1	collagen type XXIV alpha 1 chain
SNORA26	>0.1	small nucleolar RNA, H/ACA box 26
PSMD8	>0.1	proteasome 26S subunit, non-ATPase 8
AFTPH	>0.1	aftiphilin
TM9SF2	>0.1	transmembrane 9 superfamily member 2
TXNIP	>0.1	thioredoxin interacting protein
KNCN	>0.1	kinocilin
C1orf141	>0.1	chromosome 1 open reading frame 141
SERPING1	>0.1	serpin family G member 1
MED10	>0.1	mediator complex subunit 10
PGPEP1L	>0.1	pyroglutamyl-peptidase I like
MID1IP1-AS1	>0.1	MID1IP1 antisense RNA 1
SUV39H1	>0.1	SUV39H1 histone lysine methyltransferase
C19orf60	>0.1	required for excision 1-B domain containing
CDKN1B	>0.1	cyclin dependent kinase inhibitor 1B
AASDHPPT	>0.1	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AP1S3	>0.1	adaptor related protein complex 1 subunit sigma 3
PET100	>0.1	PET100 cytochrome c oxidase chaperone
SNHG18	>0.1	small nucleolar RNA host gene 18
RAD17	>0.1	RAD17 checkpoint clamp loader component
TCTE3	>0.1	dynein light chain Tctex-type 2
MAFG	>0.1	MAF bZIP transcription factor G
NKX2-1	>0.1	NK2 homeobox 1
LCE3A	>0.1	late cornified envelope 3A
MCHR1	>0.1	melanin concentrating hormone receptor 1
STEAP1	>0.1	STEAP family member 1
